n;clé;image_id;seed;statut;raison;prompt
11;s1/couverture;b7d1475f-e45a-42e3-9940-0518b8b76026;aléatoire;rejetée;bandes noires latérales, bureau au lieu d'un pupitre;Risograph print editorial illustration, linocut style: an empty political lectern with a microphone standing on bare dirt in the foreground, and behind it an unfinished construction site: two construction cranes and a few half-built server cabinets on empty ground. The server cabinets are printed in bright light blue, the lectern and cranes in black. [style bleu clair, no frame, no border]
12;s1/data-centers;549b4835-270f-4f55-8772-845ec093990c;aléatoire;rejetée;la puce ressemble à un panneau sur pieds;Risograph print editorial illustration, linocut style: a flat thin square computer microchip with short metal legs on all four sides, resting on the summit of a big heap of black rocks and raw ore, two tiny mine carts and two pickaxes at the bottom of the heap. The microchip is printed in bright light blue. [style bleu clair, no frame]
13;s1/consommation;35dd275b-80f9-477c-a31f-4b943a91d616;aléatoire;rejetée;le data center est devenu une maison, paille incohérente;Risograph print editorial illustration, linocut style: a giant bendy drinking straw going from the roof of a windowless black data center building down into a lake that has shrunk to a small puddle in the middle of a large dry cracked lake bed, a small rowing boat stranded on the dry mud. The remaining water is printed in bright light blue. [style bleu clair, no frame]
14;s1/competitif;cba58637-a2d5-4db9-b89d-65113a7b4d81;aléatoire;retenue;fusée à façade de serveur qui brûle la forêt, lisible en vignette (billets minuscules);Risograph print editorial illustration, linocut style: a tall black server cabinet with rocket fins and a pointed nose cone flying straight upward, a big flame coming out of its bottom and setting fire to a row of pine trees on the ground below, paper banknotes falling from it. The flames are printed in bright light blue. [style bleu clair, no frame]
15;s1/couverture;e6b9ab1d-6972-47b6-9d5b-8142cb624cdf;aléatoire;retenue;pupitre central, grues et serveurs en spot, fond papier propre;Risograph print editorial illustration, linocut style: a tall narrow speaker's podium with a microphone standing alone on bare dirt in the foreground; behind it, an unfinished construction site with two construction cranes and a row of half-built server cabinets. The server cabinets are printed in bright light blue, the podium and cranes in black. The whole background is plain off-white paper. [style bleu clair, no frame, no black border]
16;s2/couverture;10ad7d9c-0d1c-4b49-a4eb-19a7689bc135;aléatoire;retenue;deux armées de pions, serveurs et urne : wargame lisible;Risograph print editorial illustration, linocut style: two opposing armies of wooden board game pawns facing off on a desk, among a few small server towers and one plain ballot box with a slot. One army of pawns is printed in bright light red, the other in black. [style rouge clair, no frame]
17;s2/campagne;aeab21c1-6c56-4cb6-b623-ee4ef17dc27d;aléatoire;rejetée;pseudo-lettre « P » sur le mégaphone;Risograph print editorial illustration, linocut style: the back of a man in a suit standing at a microphone on a small stage, a giant megaphone beside him pointing at the audience, and in front of the stage a crowd of small identical boxy robots all holding up identical empty speech bubbles. The speech bubbles are printed in bright light red. [style rouge clair, no frame]
18;s2/temps-des-choix;aa3074dc-f74c-432a-a8f8-87ce6568e667;aléatoire;rejetée;les flux montent vers des boules au lieu d'aller vers les trois destinations, gratte-ciel et livre fusionnés;Risograph print editorial illustration, linocut style: a transparent glass ballot box in the center, with three streams of small dots leaking out of it and flowing away in three directions: toward a small house with a star on its roof, toward a distant skyscraper, and toward a big open book. The streams of dots are printed in bright light red. [style rouge clair, no frame]
19;s2/menace-etrangere;3abee14a-eb4d-45b5-925f-04f73fcc8f4a;aléatoire;rejetée;carte réduite à un rectangle vide, masques incrustés dans la ville;Risograph print editorial illustration, linocut style: a paper map lying flat, crossed by a border line drawn as printed circuit board traces; beyond the border, a dark factory city bristling with radio antennas; above the city float three blank featureless white masks. The border line is printed in bright light red. [style rouge clair, no frame]
20;s2/negocier-gafam;99ff6bbc-fd02-4ff9-aabf-527cb9247e1b;aléatoire;retenue;main géante en costume, petit homme, moissonneuse dans un champ de profils : tout y est;Risograph print editorial illustration, linocut style: a tiny man in a suit shaking hands with an enormous hand in a suit cuff that comes down from the top of the image; below them, a combine harvester mowing a field where every wheat stalk ends in a small round user profile icon. The field of profile icons is printed in bright light red. [style rouge clair, no frame]
21;s2/riposte;8ee70617-8f08-472b-8c1e-2e16a34d8dc8;aléatoire;rejetée;l'éclair frappe sans revenir, fenêtres toujours allumées, composition chargée;Risograph print editorial illustration, linocut style: a zigzag lightning bolt curving back through the sky like a returning boomerang toward a classical government building with columns, whose windows are going dark one by one. The lightning bolt is printed in bright light red. [style rouge clair, no frame, no flags]
22;s2/campagne;aaafbc3a-3d52-438b-9acd-9393a2c721a7;aléatoire;retenue;homme de dos au mégaphone, foule de robots, bulles rouges vides : très lisible;Risograph print editorial illustration, linocut style: the back of a man in a suit standing at a microphone on a small stage, a giant plain megaphone beside him with no markings, and in front of the stage a crowd of small identical boxy robots all holding up identical empty speech bubbles. The speech bubbles are printed in bright light red. [style rouge clair, no frame, no logos, no symbols]
23;s2/temps-des-choix;b073cb0e-7d18-4483-b1b8-309304f812ce;aléatoire;rejetée;tout en rouge (pas d'encre noire), boules façon pommes dans l'urne;Risograph print editorial illustration, linocut style: a transparent glass ballot box in the center; three dotted lines of small dots come out of its slot and curve away, each ending at a small object: on the left a little house with a star on its roof, at the top a skyscraper, on the right an open book. The dotted lines are printed in bright light red. [style rouge clair, no frame]
24;s2/menace-etrangere;c4b74b35-8564-4f16-b598-4b8a0b781dc5;aléatoire;rejetée;cadre noir, la frontière devient un cadre, masques expressifs;Risograph print editorial illustration, linocut style: a thick border line drawn as printed circuit board traces running across open ground; on the far side of the border, a dark factory city bristling with radio antennas; high above the city float three blank oval masks with no eyes, no nose and no mouth. The circuit border line is printed in bright light red. [style rouge clair, no frame]
25;s2/riposte;41d0eb19-4006-4389-98e3-ea8f8b89309d;aléatoire;rejetée;le bâtiment ressemble au Capitole (bâtiment réel reconnaissable);Risograph print editorial illustration, linocut style: a big boomerang made of a zigzag lightning bolt flying back toward the classical government building with columns that threw it; half of the building's windows have gone completely dark. The boomerang lightning is printed in bright light red. [style rouge clair, no frame, no flags]
26;s2/temps-des-choix;67e9ddc9-1a1b-4af1-9215-07dd64cf98b0;aléatoire;retenue;urne noire, trois traînées rouges vers maison, tour, livre;Risograph print editorial illustration, linocut style: a black outlined glass ballot box on a table in the center, filled with small ballots; three dotted trails of small red dots escape from its slot and curve away to three black objects: on the left a little house with a star on its roof, at the top a skyscraper, on the right an open book. Only the dotted trails are printed in bright light red, everything else in black. [style rouge clair, no frame]
27;s2/menace-etrangere;d00b00fd-1005-42f6-bced-a8361d34bf96;aléatoire;rejetée;composition déséquilibrée dans le coin supérieur gauche, grand vide;Risograph print editorial illustration, linocut style: a winding border line made of printed circuit board traces cuts diagonally across empty land; on the far side of the border stands a dark factory city bristling with radio antennas; three plain white theater masks with only two eye holes float in the sky above the city. The circuit border line is printed in bright light red. The whole background is plain off-white paper. [style rouge clair, no frame, no black border]
28;s2/riposte;3db35fe1-c2ba-4981-af3c-dca9cea76569;aléatoire;retenue;bâtiment générique frappé par l'éclair, net ; le demi-tour n'est pas rendu;Risograph print editorial illustration, linocut style: a plain generic official building with a flat roof and columns, no dome; a curved lightning bolt leaves from its roof, makes a U-turn in the sky and comes back down to strike the same building; half of the building's windows have gone completely dark. The lightning bolt is printed in bright light red. [style rouge clair, no frame, no flags]
29;s2/menace-etrangere;bcb79e0a-42e3-43d2-b900-b38dc21e7165;aléatoire;retenue;mur-circuit rouge, ville-usine, trois masques qui épient : métaphore forte;Risograph print editorial illustration, linocut style: a long low wall made of a printed circuit board runs across the middle of the image; behind the wall rises a dark factory city bristling with radio antennas; three blank white masks with only two eye holes peek over the top of the wall. The circuit board wall is printed in bright light red. The whole background is plain off-white paper. [style rouge clair, no frame, no black border]
30;s3/couverture;3495812a-9e5a-402d-b713-6d043bc08e5b;aléatoire;rejetée;ni cloche ni socle, tout en sarcelle sans encre noire, verre au lieu d'une chope;Risograph print editorial illustration, linocut style: a brain drawn as a printed circuit board, displayed on a pedestal under a glass museum dome, with two cables coming out of the dome: one plugged into a painter's palette, the other into a beer mug. The brain is printed in bright light teal. [style sarcelle clair, no frame, no glow, no neon]
31;s3/ceci-n-est-pas-une-biere;044e080b-ff56-4ec8-9803-1215e029c501;aléatoire;retenue;cadre, bière, curseur-main et brasseurs à fourches, aucun texte malgré le pastiche;Risograph print editorial illustration, surrealist pastiche in linocut style: a glass of beer floating inside an ornate empty picture frame hanging on a plain wall, a giant computer mouse cursor arrow pointing at the beer; below the frame, three small black silhouettes of brewers raising pitchforks in protest. The beer is printed in bright light teal. [style sarcelle clair, no caption, no words]
32;s3/regarder-nos-souvenirs;99c017c3-4a6d-4ce7-93a9-408d670aec6f;aléatoire;rejetée;visages dessinés dans les photos malgré « no faces », photos aspirées dans le mauvais sens;Risograph print editorial illustration, linocut style: a big mechanical eye shown in cross-section with camera lens rings inside, sucking in a long line of small square family snapshots that fly away from it toward a stylized cloud. The cloud is printed in bright light teal. [style sarcelle clair, no frame, no faces in the photos]
33;s3/dedommager-brasseurs;8cdd77ef-cbbe-4f16-96c0-faed3830705a;aléatoire;rejetée;dossiers rangés dans le guichet, pas d'avalanche : trop sage;Risograph print editorial illustration, linocut style: a small old-fashioned administrative service window with a counter, almost buried under an avalanche of paper folders and hundreds of beer bottle caps pouring down onto it. The bottle caps are printed in bright light teal. [style sarcelle clair, no frame]
34;s3/accueillir-neooculus;7904629a-7717-4380-8b48-409a76121779;aléatoire;retenue;foule noire au point lumineux, doubles sarcelle au-dessus : fort en vignette;Risograph print editorial illustration, linocut style: a crowd of black silhouettes seen from behind, each head marked with one small bright dot; floating above the crowd are their own doubles, distorted and stretched ghost-like silhouettes. The floating doubles are printed in bright light teal. [style sarcelle clair, no frame, no faces]
35;s3/couverture;e34e9569-7ad6-4e30-8665-fb15ce868cc0;aléatoire;rejetée;palette remplacée par une fiche, petit glyphe « 0 » près du cerveau;Risograph print editorial illustration, linocut style: a tall black glass bell jar on a black museum pedestal, and inside the bell jar a brain made of printed circuit board traces; two black cables come out from under the bell jar, one plugged into a painter's palette on the left, the other plugged into a beer mug on the right. Only the brain is printed in bright light teal, the bell jar, pedestal, cables, palette and mug in black ink. [style sarcelle clair, no frame, no glow, no neon]
36;s3/regarder-nos-souvenirs;209bb75e-b615-4264-b669-90d96afd8272;aléatoire;retenue;l'œil-caméra envoie les photos vers le nuage ; le chien est une lecture littérale du prompt;Risograph print editorial illustration, linocut style: on the left, a big black mechanical eye in cross-section with camera lens rings; a long line of small square snapshots of landscapes, a house, a tree and a dog streams out of the eye and is sucked up toward a stylized cloud on the right. The cloud is printed in bright light teal. [style sarcelle clair, no frame, no people, no faces]
37;s3/dedommager-brasseurs;8a29a18a-8cb8-4651-a762-c7f5708cd91f;aléatoire;retenue;guichet englouti sous papiers et capsules, lisible;Risograph print editorial illustration, linocut style: a small black administrative service counter with a closed window, completely buried under a huge avalanche of paper folders and beer bottle caps that pours down on it like a landslide, only the top of the window still visible. The bottle caps are printed in bright light teal. [style sarcelle clair, no frame]
38;s3/couverture;bcfa6a75-4906-4e29-96d7-64acfd0ebb91;aléatoire;retenue;cloche, cerveau, pinceaux et chope en symétrie ; couleurs parasites remappées par la bichromie;Risograph print editorial illustration, linocut style: a museum display: a brain made of circuit board traces sitting under a glass bell jar on a black pedestal, flanked by two objects on the same pedestal: a painter's wooden palette with brushes on the left and a foamy beer mug on the right, each connected to the bell jar by a black cable. Only the brain is printed in bright light teal. Bold flat shapes, thick black linocut lines, [...] centered symmetrical composition [...] no numbers [style sarcelle clair, no frame, no glow, no neon]
39;roles/citoyen;13879f29-d00a-4a51-b5be-40d5c2650bbc;aléatoire;retenue;pyramide de cinq bustes, la pousse remplace la tête du sommet : trouvaille lisible;Risograph print pictogram, linocut style: six simple pictogram figures with round heads and solid black bodies grouped in a pyramid shape: three at the bottom, two in the middle, one at the top; a small plant sprout with two leaves grows on the ground in front of them. [style pictogramme noir, no facial features]
40;roles/data;66df8cc0-aa40-4384-80bf-b09da57e1215;aléatoire;rejetée;les piles de disques ressemblent à des piles de pièces (lecture « argent »);Risograph print pictogram, linocut style: a single simple pictogram figure with a round head and a solid black body standing between tall stacks of flat round data disks, the stacks linked to each other by thin wires. [style pictogramme noir, no facial features]
41;roles/lobbyiste;97b59f05-402f-4ab4-9c06-1d781dd7ea80;aléatoire;rejetée;les mains ne se touchent pas, personnages assis;Risograph print pictogram, linocut style: two simple pictogram figures with round heads and solid black bodies seen in profile, shaking hands above a small table between them, one empty speech bubble floating above their hands. [style pictogramme noir, no facial features]
42;roles/syndicat;dd7f1f7b-5b55-40dd-bbf4-5b7e5036b0d3;aléatoire;retenue;trois figures, poing levé au centre, cohérent avec la série;Risograph print pictogram, linocut style: three simple pictogram figures with round heads and solid black bodies standing side by side in a line, the middle one raising a clenched fist high above its head. [style pictogramme noir, no facial features]
43;roles/data;4bf1ee8a-b93e-409c-a960-99f0d8828050;aléatoire;retenue;icônes de bases de données reliées à la figure : lecture immédiate;Risograph print pictogram, linocut style: a single simple pictogram figure with a round head and a solid black body standing between four database icons, each database icon a tall cylinder made of three stacked discs, the cylinders linked to each other and to the figure by thin cables. [style pictogramme noir, no facial features, no coins]
44;roles/lobbyiste;5a432e86-ab45-42cc-9de5-bba0b3b119c6;aléatoire;retenue;poignée de main au-dessus de la table, bulle vide;Risograph print pictogram, linocut style: two simple standing pictogram figures with round heads and solid black bodies facing each other in profile, their hands clasped together in a firm handshake above a small low table between them, one empty speech bubble floating above the handshake. [style pictogramme noir, no facial features]
45;accueil/hero;d0c5de8c-7271-4aa5-88e4-168e219c07b2;aléatoire;rejetée;bonne vue de dessus mais rendu vectoriel lisse sans grain, une carte face visible, cadrage à fond perdu;Risograph print editorial illustration, linocut style: top-down view of a classroom table: an open laptop in the center, next to it a sheet of paper with five columns of round game tokens, a few face-down playing cards scattered around, and five pairs of hands and forearms reaching in from the edges of the table. Seen strictly from above, no heads visible. [style noir seul, nothing on the laptop screen, no numbers, no logos]
46;accueil/hero;7f08ba7c-eb44-4bac-a075-6994ce0535d1;aléatoire;rejetée;perspective trois-quarts au lieu d'une vue de dessus;Risograph print editorial illustration, linocut style: bird's-eye view of a wooden table during a board game: an open laptop at the center with a blank screen, a large sheet with five vertical columns of round tokens beside it, several playing cards lying face down, and four pairs of hands and sleeves coming from the four sides of the table, one hand moving a token. Seen strictly from above, no heads, no faces. [style noir seul, no numbers, no logos]
47;accueil/regles;65181df8-a8a6-4c59-917e-f9e50ae4b645;aléatoire;retenue;jauge de cercles, gros pion, doigt qui pousse ; le pion est au sommet et la flèche pointe vers le bas;Risograph print editorial illustration, linocut style: a vertical scale of seven empty circles stacked in a column like a gauge, one big solid black round game token sitting on one of the circles, and a hand with one finger pushing the token up by one notch to the next circle, a small arrow showing the movement. Isolated scene centered on an empty plain background, wide empty margins. [style noir seul, no numbers]
48;accueil/hero;9e0ca610-bb97-4928-8eb0-cddc112d445a;aléatoire;retenue;la plus soignée : grain, table bois, cartes retournées, cinq mains ; la feuille n'a qu'une colonne de pions, pseudo-lettres du clavier absorbées par l'aplat noir;Risograph print editorial illustration, rough linocut carving: flat top-down view looking straight down at a wooden classroom table: an open laptop with a blank screen in the center, beside it a paper sheet ruled into five columns with round tokens in each column, playing cards lying face down with a patterned back, and five pairs of hands with sleeves reaching in from all edges of the table, one hand moving a token. Only hands and forearms, no heads, no faces. [style noir seul, heavy visible grain, wood texture carved lines, no numbers, no card symbols, no logos]
49;accueil/hero;e9cc7bbd-cf48-46b0-88ef-b4367e7ace8d;aléatoire;rejetée;cartes face visible avec lettres et figures;Risograph print editorial illustration, linocut style with heavy grain: seen from directly above, a classroom table with an open laptop in the middle, a score sheet with five columns of round black tokens next to it, a small pile of face-down playing cards, and four pairs of forearms and hands resting on the table edges, one hand sliding a token up a column. Only hands, no heads, no faces. [style noir seul, carved linocut texture, no numbers, no card symbols, no logos]
50;accueil/regles;bdbbb60f-55ad-4ea0-8373-e4b93e292cf1;aléatoire;rejetée;cercles éparpillés, plus de jauge lisible;Risograph print editorial illustration, linocut style: a vertical column of seven empty outlined circles like a thermometer gauge; one big solid black round token sits on the third circle from the bottom, and a hand below it pushes the token upward with one finger toward the fourth circle. [style noir seul, no arrows, no numbers]
51;accueil/regles;74a4ca06-3aec-4519-8917-9cd7711a8e7f;aléatoire;rejetée;grille de six cercles au lieu d'une colonne : le format 16:9 écrase la jauge verticale;Risograph print editorial illustration, linocut style: a single vertical row of six small empty outlined circles, evenly spaced from bottom to top; one big solid black round token placed in the middle of the row, covering the third circle; a hand coming from the right side presses its index finger against the bottom of the token to nudge it up one step. [style noir seul, no arrows, no numbers]
52;accueil/hero;acd26f94-a507-47cf-b66e-d4b9cfcfae5e;aléatoire;rejetée;rendu photoréaliste (prompt trop long et trop détaillé);Risograph print editorial illustration, rough linocut carving: flat top-down view looking straight down at a wooden classroom table: an open laptop with a blank screen and blank keys in the center; on the left, a large paper game board ruled into a grid of five vertical columns, each column holding a few round black tokens at different heights; on the right, a few playing cards lying face down with a patterned back; five pairs of hands with dark sleeves reaching in from all edges of the table, one hand moving a token up a column. [style noir seul, heavy grain, no card symbols]
53;accueil/hero;418baaa7-ec8a-4284-ac8e-646a81325f79;aléatoire;rejetée;cinq jauges parfaites mais cartes face visible (piques, pseudo-lettres dans les coins) ; alternative gardée en brut (hero--v6.jpg);Risograph print editorial illustration, rough linocut carving: top-down view of a classroom table during a role-playing game: an open laptop with a blank screen in the center, below it a wide paper score sheet with five vertical columns of round tokens like five bar gauges, face-down playing cards scattered around, and hands with dark sleeves around the table from five players, one hand pushing a token in a column. [style noir seul, no card symbols, no keyboard letters]
54;accueil/hero;7dddd0a6-e109-4c81-8bd2-e7811cf2507b;aléatoire;rejetée;les cartes et la feuille fusionnent en cinq rectangles noirs, trois mains seulement;Risograph print editorial illustration, linocut style: top-down view of a classroom table: an open laptop with a blank screen at the top center, below it a paper sheet with five vertical columns of round tokens, and five plain solid black rectangles as face-down playing cards scattered on the table; five pairs of hands with dark sleeves reach in from the edges, one hand pushing a token up a column. [style noir seul, no card faces, not a photo]
55;s3/regarder-nos-souvenirs;c6686cb5-0686-4617-8dfc-ea8efaff2d84;aléatoire;retenue;v2 orchestrateur : plus de chien (« no animals », sujets des photos : montagnes, maison, arbre) ; l'œil ressemble un peu à un projecteur;Risograph print editorial illustration, linocut style: on the left, a big black mechanical eye in cross-section with camera lens rings, mounted on a small stand; a long ribbon of small square snapshots showing mountains, a house and a tree streams out of the eye toward a big stylized cloud on the right. The cloud is printed in bright light teal. [style sarcelle clair, no frame, no people, no animals]
56;s3/dedommager-brasseurs;de3dde5f-321d-4346-9a5d-1ae6ba578857;aléatoire;retenue;v2 orchestrateur : « solid flat medium teal disc » au lieu de « bright light teal » : la sarcelle survit à la bichromie;Risograph print editorial illustration, linocut style: a small black administrative service counter with a closed window, completely buried under a huge avalanche of paper folders and big round beer bottle caps that pours down on it like a landslide, only the top of the window still visible. Every bottle cap is a solid flat medium teal disc with a black outline. [style sarcelle, no frame]
57;s1/prologue;f62ffd5c-3776-4ff8-9643-a35c48e042e1;aléatoire;retenue;v1 : bâtisseur au plan roulé, tour de serveurs rêvée en spot;Risograph print editorial illustration, linocut style: a tiny politician in a suit standing alone in a vast empty field, holding a rolled-up blueprint under his arm, and above him in the sky a huge dotted outline of a tall server tower building that does not exist yet, like a dream plan. The dotted outline is printed in bright light blue. [style bleu clair, no frame]
58;s1/partenaires-sud;571a14b4-7478-4cbf-a919-a0f3b3012757;aléatoire;rejetée;v1 : bandes noires, chiffre « 1 » sur le podium;Risograph print editorial illustration, linocut style: a first-place winner podium with a big shiny trophy cup on top, the whole podium carried on the shoulders of a row of tiny miners with helmets and headlamps who bend under its weight, small pickaxes at their feet. The trophy cup is printed in bright light blue. [style bleu clair, no frame]
59;s1/partenaires-locaux;fcd11171-62c8-4a5e-8100-62e0316c6995;aléatoire;rejetée;v1 : pseudo-logo sur la pelleteuse;Risograph print editorial illustration, linocut style: a big mining excavator digging a deep pit right in the middle of a small village square, a few villagers walking away from their houses carrying suitcases, a chair and a lamp, and a tall stack of coins toppling over beside the pit. The excavator is printed in bright light blue. [style bleu clair, no frame]
60;s1/location;cb8ce9c6-b108-4cf9-9755-a84450d6843c;aléatoire;retenue;v1 : fauteuil, long câble, main géante qui tient la prise;Risograph print editorial illustration, linocut style: on the left a tiny man in a suit sitting in an armchair using a laptop, its very long power cable crosses a strip of sea and ends on the far right in a giant hand that holds the plug between two fingers, ready to pull it out. The power cable is printed in bright light blue. [style bleu clair, no frame]
61;s1/import-assemblage;338734d3-148c-412a-b1cf-bffa352f9c6c;aléatoire;rejetée;v1 : bandes noires sur les côtés;Risograph print editorial illustration, linocut style: a small workbench where two workers in aprons carefully assemble a computer chip with tweezers, a wooden crate of raw rocks and ore beside them, and far away in the background across the sea a dark mountain mine with a plume of smoke. The computer chip is printed in bright light blue. [style bleu clair, no frame]
62;s1/data-centers-fin;edc999f3-7993-4f16-a998-02d29d5077bd;aléatoire;rejetée;v1 : bandes noires, cratères peu lisibles;Risograph print editorial illustration, linocut style: a cheerful businessman in a suit taking giant strides across a landscape with a small server cabinet under his arm, and each of his giant footprints behind him has left a deep crater in the ground, with a broken tree and a small cracked house along his trail. The craters are printed in bright light blue. [style bleu clair, no frame]
63;s1/consommation-intro-2;dc15f40a-0fe7-40ab-b2b5-b74ce439c7c0;aléatoire;retenue;v1 : pièces dans l'entonnoir, tuyau sous la mer vers le data center fumant;Risograph print editorial illustration, linocut style: a small man turning his wallet upside down, coins pouring into a big funnel, and the funnel feeds two long pipes that cross a strip of sea to a distant data center building on the right which releases big clouds of steam. The coins are printed in bright light blue. [style bleu clair, no frame]
64;s1/booster;213f4cd4-5ab9-441f-9884-c730c9a84e2d;aléatoire;retenue;v1 : bocal de pièces qui arrose hôpital et école (pas de croix, mais lisible);Risograph print editorial illustration, linocut style: a big glass jar full of coins in the center, with two pipes coming out of it that pour streams of coins onto the roofs of a small hospital building and a small school building with a bell tower. The coins are printed in bright light blue. [style bleu clair, no frame]
65;s1/booster-2;5f02a457-4608-4183-a20e-195831076d71;aléatoire;retenue;v1 : seau vide sur sol craquelé, serveur branché, chaises vides (le puits est devenu un seau);Risograph print editorial illustration, linocut style: a dried-up village well with an empty wooden bucket on cracked dry ground, and right behind it a tall server cabinet with dozens of thick power cables plugged into it, a row of empty office chairs waiting beside it. The server lights and the power cables are printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
66;s1/autre-projet;551d17c4-495f-4fc7-88b6-8c0fc1d41f2c;aléatoire;rejetée;v1 : arbre ordinaire, le serveur-tronc a disparu;Risograph print editorial illustration, linocut style: a tall server cabinet planted in the ground like a tree trunk, with wide branches full of leaves spreading from its top, and small citizens sitting together on park benches in its shade, a child reading a book. The leaves are printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
67;s1/autre-projet-2;cbf7f3f3-e77b-45ed-87c6-5eab56e886fe;aléatoire;rejetée;v1 : wagonnets sur un pont, sans mer ni ville;Risograph print editorial illustration, linocut style: a long bridge crossing the sea from a big foreign data center on an island on the right to a small town on the left, a line of little carts rolling along the bridge, each cart loaded with glowing parcels, toward a school, a hospital and a small town hall. The glowing parcels are printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
68;s1/autre-projet-3;73de4aa3-e67b-42f6-9768-57613d6563be;aléatoire;retenue;v1 : robot guetteur sur la tour, fumée en spot, camion de pompiers;Risograph print editorial illustration, linocut style: a friendly small boxy robot standing on top of a wooden fire lookout tower above a pine forest, pointing with one arm at a tiny wisp of smoke rising far away above the trees, and a small red fire truck already driving toward it on a road. The wisp of smoke is printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
69;s1/grand-public;7abddd3b-4e8a-4792-82d9-acdb1154c91f;aléatoire;retenue;v1 : foule aux smartphones autour du serveur-bougie qui fond;Risograph print editorial illustration, linocut style: a huge crowd of tiny people each holding up a glowing smartphone, and all the phones are connected by thin wires to one giant server tower in the back that is melting like a candle, dripping and steaming. The phone screens are printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
70;s1/entreprises;cbebe071-5ad2-46ed-a644-9e01c50649b1;aléatoire;rejetée;v1 : filet noir autour de l'image, le témoin-serveur n'est pas lisible;Risograph print editorial illustration, linocut style: a relay race on a running track, businessmen in suits sprinting in their lanes, one runner passing to the next a small glowing server cabinet like a relay baton, a finish line ribbon ahead. The small server batons are printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
